searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,location,tweet
hillary,2358768554,2016,10,25,06,13,25,1,0,220,367, CA,RT @bodysculptorokc: Here's a pic of George HW Bush signing #NAFTA. Funny, but I don't see Hillary nowhere in that pic holding a gun to his…
trump,2742076094,2016,10,25,06,13,25,0,0,89,78, USA,The Unobserved News: Why #BernieSanders Supporters Should Vote #Trump https://t.co/vmz3PSr7HK
hillary,587788594,2016,10,25,06,13,25,22888,0,1053,445,,RT @realDonaldTrump: Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let thi…
hillary,768891712152412160,2016,10,25,06,13,25,70,0,39,6, Algeria,RT @Fusion: A message from @maudegarrett to Hillary Clinton: Welcome to being a woman in the White House—don't mess it up: https://t.co/NBp…
trump,724507949985460224,2016,10,25,06,13,25,34,0,45,88,,RT @MichaelWatsonDC: BREITBART AND LEFTY ACTIVISTS CONSPIRED TO ENSURE TRUMP GOT THE NOMINATION.You were warned. https://t.co/TOTKTC58pA
hillary,29136429,2016,10,25,06,13,25,600,0,997,1827, U.S.A.,RT @GopAaron: Hillary Clinton is careless, reckless, and crooked. She is unfit to be the next POTUS! #NeverHillary #VoteTrumpPence16 #Trump…
trump,3290037651,2016,10,25,06,13,25,1727,0,2,101164,Dm for cheap Rts and Promos ,RT @hoax: hitler vs trump https://t.co/wg815vdue4
trump,401797919,2016,10,25,06,13,25,0,0,4975,4943,Albuquerque NM,Newest Poll Shows Trump Leads with Veterans Over Hillary by 17% [Video] https://t.co/mNBAfI2Fui
trump,36303972,2016,10,25,06,13,25,9,0,5001,2323,The World ,RT @azmoderate: Fun Facts: Trump received a record 13 million votes in the GOP primaries &amp; a record 16 million votes against him.
hillary,727311184425144321,2016,10,25,06,13,25,42,0,166,191,,RT @RealDJTrumpTeam: Where are the Authorities?Above the Law CLINTONS!Project Veritas Video: Dem operatives say #Hillary wanted “Donald D…
trump,2977123110,2016,10,25,06,13,25,1727,0,125,84320,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,48612783,2016,10,25,06,13,25,0,0,5001,993, NV,Captain Khan | Hillary Clinton https://t.co/fsl6RO1K5a via @YouTube
trump,1902116174,2016,10,25,06,13,25,0,0,715,313,Detroit Rock City,Trump’s donors paid for his jetliner, his hotels and now, his books ➡️ by @svdate https://t.co/ff36qaFn7b via @HuffPostPol
trump,759870139479289857,2016,10,25,06,13,25,14,0,235,58, N.Y. USA,RT @Miami4Trump: 💥BADASS BREAKING AUDIO💥Micheal Moore PRAISES TRUMP (Seriously), “What TRUMP Says is MUSIC to America’s Ears” #MAGA  https:…
