,Genre,AvgTemp,imdbRating
377,Reality-TV,72.0241578441,141.533333333
378,Reality-TV,74.1365555556,
379,Reality-TV,74.7735099338,1807.8
380,Reality-TV,74.866572238,81.9
381,Reality-TV,76.1165525114,6345.7
382,Romance,33.7520225776,133859.371429
383,Romance,34.9158898305,1672.4375
384,Romance,35.5807135969,753.24
385,Romance,41.2365924492,38359.8
386,Romance,42.8927815207,
387,Romance,46.5324324324,13549.9125
388,Romance,47.8371014493,210507.0
389,Romance,49.3877294686,21137.025
390,Romance,49.6228764479,4079.15
391,Romance,54.8859073359,749.214285714
392,Romance,55.1583572111,190.65
393,Romance,58.5588732394,36726.2
394,Romance,59.5156787763,1127.075
395,Romance,62.9375838926,2574.82
396,Romance,63.6048262548,11917.4
397,Romance,68.8692380952,29513.7142857
398,Romance,69.5371428571,7369.1
399,Romance,72.0241578441,48364.9
400,Romance,72.4614793468,212432.233333
401,Romance,74.1365555556,13350.1818182
402,Romance,74.7735099338,256.56
403,Romance,74.866572238,437.283333333
404,Romance,76.1165525114,38545.88
405,Sci-Fi,33.7520225776,1600.0
406,Sci-Fi,34.9158898305,210986.1
407,Sci-Fi,35.5807135969,73282.2333333
408,Sci-Fi,41.2365924492,162686.75
409,Sci-Fi,42.8927815207,56084.0
410,Sci-Fi,46.5324324324,36573.7333333
411,Sci-Fi,47.8371014493,303042.4
412,Sci-Fi,49.3877294686,565188.12
413,Sci-Fi,49.6228764479,21080.0
414,Sci-Fi,54.8859073359,48282.3666667
415,Sci-Fi,55.1583572111,10847.8
416,Sci-Fi,58.5588732394,7722.6
417,Sci-Fi,59.5156787763,222.6
418,Sci-Fi,62.9375838926,843603.36
419,Sci-Fi,63.6048262548,545018.385714
420,Sci-Fi,68.8692380952,615.0
421,Sci-Fi,69.5371428571,475200.4
422,Sci-Fi,72.0241578441,1003168.7
423,Sci-Fi,72.4614793468,248546.0
424,Sci-Fi,74.1365555556,47215.8
425,Sci-Fi,74.7735099338,631016.15
426,Sci-Fi,74.866572238,2465.0
427,Sci-Fi,76.1165525114,52893.1666667
428,Short,33.7520225776,152.8
429,Short,34.9158898305,131.954545455
430,Short,35.5807135969,1198.1
431,Short,41.2365924492,979.2
432,Short,42.8927815207,7252.62
433,Short,46.5324324324,93.3222222222
434,Short,47.8371014493,3818.9
435,Short,49.3877294686,52.4
436,Short,49.6228764479,288.8
437,Short,54.8859073359,120.35
438,Short,55.1583572111,1889.8375
439,Short,58.5588732394,611.145454545
440,Short,59.5156787763,76.85
441,Short,62.9375838926,106.916666667
442,Short,63.6048262548,179.5
443,Short,68.8692380952,2565.16666667
444,Short,69.5371428571,123.2
445,Short,72.0241578441,629.9
446,Short,72.4614793468,127.05
447,Short,74.1365555556,81.5666666667
448,Short,74.7735099338,81.1833333333
449,Short,74.866572238,91.4666666667
450,Short,76.1165525114,385.4
451,Sport,33.7520225776,
452,Sport,34.9158898305,460.0
453,Sport,35.5807135969,54.4
454,Sport,41.2365924492,4764.1
455,Sport,42.8927815207,
456,Sport,47.8371014493,52.2
457,Sport,49.3877294686,63.2
458,Sport,54.8859073359,231.4
459,Sport,55.1583572111,464.6
460,Sport,58.5588732394,597.6
461,Sport,59.5156787763,11694.6
462,Sport,62.9375838926,2224.2
463,Sport,69.5371428571,
464,Sport,72.0241578441,52789.0666667
465,Sport,72.4614793468,595.8
466,Sport,74.1365555556,
467,Sport,74.7735099338,213.3
468,Sport,76.1165525114,6345.7
469,Talk-Show,34.9158898305,
470,Talk-Show,41.2365924492,3148.4
471,Talk-Show,42.8927815207,
472,Talk-Show,46.5324324324,692.5
473,Talk-Show,49.3877294686,
474,Talk-Show,55.1583572111,
475,Talk-Show,58.5588732394,
476,Talk-Show,63.6048262548,440.2
477,Talk-Show,69.5371428571,7012.2
478,Talk-Show,72.0241578441,3041.5
479,Talk-Show,74.7735099338,65.7
480,Talk-Show,74.866572238,
481,Thriller,33.7520225776,92392.6636364
482,Thriller,34.9158898305,16782.825
483,Thriller,35.5807135969,46458.8666667
484,Thriller,41.2365924492,9195.2
485,Thriller,42.8927815207,32359.875
486,Thriller,46.5324324324,33413.0454545
487,Thriller,47.8371014493,330411.7
488,Thriller,49.3877294686,618.275
489,Thriller,49.6228764479,
490,Thriller,54.8859073359,50405.1428571
491,Thriller,55.1583572111,16887.8625
492,Thriller,58.5588732394,23665.8090909
493,Thriller,59.5156787763,34364.4333333
494,Thriller,62.9375838926,4627.1
495,Thriller,63.6048262548,40393.9166667
496,Thriller,68.8692380952,6408.4
497,Thriller,69.5371428571,109867.107143
498,Thriller,72.0241578441,208511.1125
499,Thriller,72.4614793468,67664.0
500,Thriller,74.1365555556,97384.98
501,Thriller,74.7735099338,263153.114286
502,Thriller,74.866572238,27996.5285714
503,Thriller,76.1165525114,10829.84
504,War,33.7520225776,
505,War,35.5807135969,194.3
506,War,42.8927815207,83.2
507,War,46.5324324324,71.5
508,War,49.3877294686,
509,War,54.8859073359,5572.0
510,War,55.1583572111,
511,War,58.5588732394,
512,War,63.6048262548,638.4
513,War,69.5371428571,
514,War,72.0241578441,374.0
515,War,74.866572238,950.4
516,War,76.1165525114,1139.7
517,Western,33.7520225776,
518,Western,42.8927815207,
519,Western,46.5324324324,
520,Western,49.3877294686,
521,Western,55.1583572111,91.0
522,Western,58.5588732394,
523,Western,63.6048262548,18324.5
524,Western,69.5371428571,188.6
525,Western,72.4614793468,22121.7
526,Western,74.1365555556,
