,imdbID,Language,Genre,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Other_Awards,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
1617,tt3951082,English,Short; Drama; Mystery,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1618,tt3970806,English,Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1619,tt3975510,English,Drama; Fantasy; Thriller,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,tt3986586,English,Comedy; Family,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,tt3991412,English,Mystery; Thriller,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1622,tt4008758,French; Dutch; Arabic; Lingala,Action; Crime; Drama,6 wins & 5 nominations.,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,tt4016454,English,Action; Adventure; Drama,2 wins & 4 nominations.,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1624,tt4035268,French,Drama,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625,tt4046784,English,Action; Sci-Fi; Thriller,2 wins & 5 nominations.,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626,tt4067076,English,Biography,Nominated for 3 Primetime Emmys. Another 12 nominations.,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627,tt4085044,English,Documentary; Sport,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628,tt4085084,French,Drama; Thriller,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,tt4086032,English,Horror; Thriller,3 wins.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630,tt4088848,Polish,Comedy; Drama,3 nominations.,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,tt4094300,English,Comedy; Musical,Won 1 Golden Globe. Another 4 wins & 9 nominations.,5.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
1632,tt4108134,English,Crime; Drama; Mystery,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633,tt4113846,English,Drama; Horror; Mystery,4 wins & 1 nomination.,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,tt4130180,English,Comedy; Drama,5 wins & 3 nominations.,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1635,tt4132692,English,Drama; Mystery; Sci-Fi,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,tt4135896,English,Documentary; Drama,3 wins & 3 nominations.,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,tt4144206,Danish; English,Animation; Action; Adventure,3 nominations.,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1638,tt4145384,English,Comedy; Horror; Mystery,Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,3.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1639,tt4146128,English,Drama; Sci-Fi; Thriller,3 nominations.,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,tt4148744,French; English,Animation; Action; Adventure,1 win & 3 nominations.,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
